stick_sensor,heart_beat,total_sleep,rem_sleep,body_temperature,walk,skin_temperature,oxygen_saturation,deep_sleep,hrv,stress_score,level,level_name
5.0,82.3442164179104,165.0,65.0,34.2899305555556,2629.0,26.4604166666667,97.4883720930233,11.0,25.13101930721181,9.0,1,
5.0,83.6767676767677,54.0,15.0,34.8929411764706,3174.0,27.0050980392157,97.40297067496518,9.0,25.13101930721181,4.0,1,
10.0,81.4061181434599,115.0,43.0,35.3677083333333,5984.0,29.1111111111111,97.5030303030303,5.0,29.9,5.0,1,
15.0,85.1454363089268,25.0,8.0,34.8618055555556,6264.0,26.5746527777778,97.6095238095238,4.0,19.6,3.0,1,
15.0,86.0861111111111,40.0,15.0,35.1825174825175,8679.0,28.5797202797203,97.590243902439,4.0,20.6,1.0,1,
20.0,86.3355481727575,144.0,34.0,36.03125,11882.0,31.440625,97.4415274463007,29.0,14.2,4.0,1,
15.0,85.3394648829431,75.0,29.0,34.9465277777778,9813.0,28.3784722222222,97.5691489361702,3.0,32.2,5.0,1,
15.0,81.9805405405405,227.0,90.0,35.2188153310105,5068.0,29.1710801393728,97.5132530120482,9.0,21.2,4.0,1,
10.0,74.9856115107914,68.0,33.0,36.4888888888889,8982.0,32.5364583333333,97.5690476190476,8.0,10.4,6.0,1,
25.0,81.3319919517103,28.0,8.0,35.3350694444444,16300.0,28.2798611111111,97.3921568627451,2.0,3.9,2.0,1,
25.0,81.7710843373494,180.0,68.0,34.0529824561403,11703.0,26.1638596491228,97.2285714285714,7.0,25.13101930721181,4.0,1,
20.0,78.2352122477383,101.0,40.0,35.878125,10356.0,30.5336805555556,97.40297067496518,21.0,53.4,6.0,1,
5.0,83.031914893617,79.0,19.0,36.2472222222222,195.0,31.8121527777778,97.5178571428571,24.0,25.13101930721181,4.0,1,
5.0,79.7975308641975,195.0,72.0,33.8955445544554,2137.0,25.0905940594059,97.446511627907,18.0,25.13101930721181,9.0,1,
5.0,69.8240740740741,130.0,26.0,36.1126984126984,4740.293584221265,30.6412698412698,97.447619047619,28.0,5.7,4.0,1,
5.0,64.7815013404826,239.0,36.0,36.2305555555556,6150.0,31.4430555555556,97.4642857142857,62.0,25.13101930721181,2.0,1,
5.0,77.8321951219512,55.0,16.0,35.9673611111111,7129.0,30.7288194444444,97.6,10.0,6.0,5.0,1,
10.0,66.6100495399859,90.0,20.0,36.3020905923345,11792.0,31.7275261324042,97.5620253164557,16.0,14.8,2.0,1,
5.0,60.1666666666667,170.0,63.0,36.7166666666667,4740.293584221265,33.85,97.45,31.0,25.13101930721181,5.0,1,
10.0,104.194862710363,115.0,35.0,36.7344537815126,14560.0,33.4626050420168,97.3636363636364,19.0,11.1,7.0,1,
10.0,83.9656084656085,34.0,10.0,36.5627906976744,6074.0,33.0744186046512,97.40297067496518,4.0,10.7,6.0,1,
15.0,80.2136894824708,133.0,56.0,33.925,1932.0,25.1541666666667,97.40297067496518,4.0,24.4,7.0,1,
15.0,82.2776659959759,28.0,8.0,33.5618055555556,4740.293584221265,21.3618055555556,97.6095238095238,3.0,17.4,2.0,1,
15.0,84.6117084826762,195.0,85.0,34.6857638888889,1864.0,27.8510416666667,97.6,8.0,26.2,6.0,1,
10.0,96.7579908675799,155.0,61.0,34.6020833333333,10470.0,27.4517361111111,97.3333333333333,8.0,12.8,7.0,1,
5.0,85.8214285714286,101.0,44.0,35.0989583333333,4677.0,28.4645833333333,97.6,4.0,25.13101930721181,5.0,1,
10.0,81.8395560040363,32.0,12.0,36.518118466899,6434.0,32.6334494773519,97.5282555282555,4.0,20.3,3.0,1,
20.0,78.66117412193785,41.0,13.0,35.2680555555556,3256.0,28.3201388888889,97.5555555555556,8.0,19.6,5.0,1,
15.0,84.0132450331126,22.0,9.0,34.4975694444444,4740.293584221265,25.3253472222222,97.3,2.0,28.2,8.0,1,
20.0,76.5743740795287,120.0,20.0,36.0625,1909.0,31.2850694444444,97.40297067496518,34.0,26.9,5.0,1,
15.0,84.9542656112577,265.0,43.0,35.7606060606061,5181.0,31.0609848484848,97.40297067496518,75.0,18.2,3.0,1,
5.0,76.622641509434,234.0,62.0,34.9354166666667,1002.0,28.1826388888889,97.605,49.0,9.9,5.0,1,
10.0,69.9584775086505,29.0,10.0,34.9635416666667,282.0,29.346875,97.5890410958904,5.0,18.6,7.0,1,
5.0,93.1567656765677,50.0,32.0,36.4292682926829,7211.0,32.6303135888502,97.40297067496518,2.0,25.13101930721181,3.0,1,
10.0,75.8478747203579,55.0,21.0,34.4232638888889,627.0,28.7041666666667,97.40297067496518,10.0,16.1,5.0,1,
5.0,75.982347749338,124.0,43.0,35.3965277777778,1559.0,29.9215277777778,97.5925925925926,20.0,23.8,4.0,1,
10.0,85.6649616368287,50.0,17.0,34.9402777777778,13877.0,27.2149305555556,97.40297067496518,3.0,14.5,4.0,1,
10.0,81.5110024449878,75.0,21.0,33.7979166666667,1603.0,25.271875,97.3333333333333,10.0,25.13101930721181,5.0,1,
10.0,81.3937219730942,80.0,73.0,36.74375,12437.0,33.7555555555556,97.5631578947368,72.96487695749441,35.6,4.0,1,
5.0,78.66117412193785,35.0,10.0,36.1,4740.293584221265,29.9,97.40297067496518,7.0,25.13101930721181,2.0,1,
5.0,84.9338440111421,235.0,67.0,36.0475694444444,6048.0,31.2420138888889,97.40297067496518,43.0,32.3,4.0,1,
10.0,79.3048780487805,225.0,94.0,34.3677083333333,1664.0,26.5819444444444,97.4315789473684,9.0,6.4,5.0,1,
10.0,77.975935828877,90.0,22.0,34.625,4497.0,27.0732638888889,97.5,14.0,26.2,5.0,1,
15.0,70.6304761904762,70.0,18.0,36.6023364485981,2873.0,33.1135514018692,97.66,9.0,26.2,9.0,1,
15.0,78.4229471316086,127.0,36.0,35.2354166666667,7801.0,29.5638888888889,97.40297067496518,25.0,38.1,4.0,1,
15.0,81.8667711598746,22.0,7.0,35.3642361111111,4947.0,29.3319444444444,97.7473684210526,2.0,28.4,6.0,1,
5.0,64.8893617021277,140.0,24.0,36.6204081632653,4740.293584221265,33.4448979591837,97.40297067496518,36.0,25.13101930721181,4.0,1,
15.0,77.5308924485126,157.0,65.0,36.4427083333333,2646.0,32.7993055555556,97.45,27.0,23.7,5.0,1,
5.0,82.9767441860465,225.0,84.0,34.5430555555556,3086.0,25.4909722222222,97.66,12.0,25.13101930721181,4.0,1,
15.0,83.9794584500467,135.0,51.0,34.4402777777778,4688.0,25.265625,97.5529411764706,8.0,40.5,3.0,1,
10.0,76.9884009942005,60.0,33.0,35.5600694444444,5136.0,29.6993055555556,97.5098039215686,6.0,26.4,6.0,1,
10.0,89.1303538175047,29.0,11.0,36.2649305555556,6938.0,31.7861111111111,97.40297067496518,2.0,11.3,5.0,1,
10.0,93.032,145.0,56.0,33.4,4740.293584221265,23.7295138888889,97.40297067496518,5.0,15.8,5.0,1,
10.0,65.5843681519357,154.0,46.0,36.4649305555556,24075.0,32.7579861111111,97.40297067496518,40.0,42.9,1.0,1,
5.0,85.4683368128045,250.0,53.0,35.896875,30965.0,30.3548611111111,97.40297067496518,62.0,22.6,3.0,1,
10.0,75.7539149888143,213.0,45.0,36.3197916666667,2731.0,31.8003472222222,97.54,48.0,12.5,3.0,1,
10.0,65.043,45.0,13.0,36.7184027777778,2584.0,33.7923611111111,97.40297067496518,4.0,19.1,6.0,1,
10.0,82.1803921568628,180.0,83.0,34.6548611111111,2922.0,25.3104166666667,97.54,7.0,11.9,6.0,1,
20.0,74.0183486238532,205.0,92.0,35.4083333333333,3958.0,29.3454861111111,97.5277777777778,21.0,13.2,3.0,1,
10.0,80.9611111111111,105.0,43.0,35.8927083333333,2662.0,30.840625,97.4333333333333,15.0,15.6,2.0,1,
10.0,71.5094043887147,145.0,54.0,35.2947916666667,7155.0,29.0902777777778,97.47,6.0,43.5,5.0,1,
10.0,72.0324675324675,116.0,16.0,35.7621527777778,33.0,30.4395833333333,97.40297067496518,32.0,25.13101930721181,7.0,1,
15.0,71.7436182019978,172.0,88.0,36.2511811023622,7692.0,31.3673228346457,97.44,15.0,19.5,4.0,1,
5.0,70.3973556019485,175.0,30.0,36.9138888888889,4687.0,34.3975694444444,97.4988066825776,43.0,25.13101930721181,10.0,1,
10.0,78.2395833333333,35.0,12.0,34.7864583333333,4163.0,27.0552083333333,97.40297067496518,6.0,12.2,4.0,1,
18.0,76.7477558348294,230.0,52.0,35.3215277777778,2385.0,28.0003472222222,97.40297067496518,48.0,8.3,3.0,1,
25.0,82.9532577903683,120.0,37.0,35.3052083333333,769.0,28.6760416666667,97.38995215311,14.0,23.8,2.0,1,
10.0,80.0672782874618,30.0,7.0,35.1225694444444,4339.0,28.5607638888889,97.4518518518519,3.0,23.2,3.0,1,
5.0,58.55,169.0,66.0,36.9612244897959,4740.293584221265,34.5571428571429,97.4875,30.0,25.13101930721181,5.0,1,
10.0,85.734762979684,38.0,13.0,36.2112840466926,10388.0,31.5171206225681,97.5,7.0,6.3,3.0,1,
10.940876136015522,83.2405498281787,120.0,44.0,33.4,4740.293584221265,20.5083333333333,97.5428571428571,5.0,18.8,5.0,1,
